DN_ID,ID,CODIGO,NOME,INDICATIVO_NAVAL,SIGLA,ENDERECO,BAIRRO,CIDADE,UF,CEP
1.0,10122,91530,SUBMARINO TUPI,SBTUPI,STupi,"ILHA DE MOCANGUÊ, S/Nº",CENTRO,NITERÓI,RJ,24040300
1.0,10123,62412,AVISO DE INSTRUÇÃO GUARDA-MARINHA BRITO,AVIBRT,AVINGMBRITO,PRAÇA BARÃO DE LADÁRIO S/Nº - ILHA DAS COBRAS,CENTRO,RIO DE JANEIRO,RJ,20091000
6.0,10129,86800,BASE FLUVIAL DE LADÁRIO,BFLAMS,BFLa,"AV. 14 DE MARÇO, S/Nº",CENTRO,LADÁRIO,MS,79370000
4.0,10130,88318,AGÊNCIA FLUVIAL DE BOCA DO ACRE,AGACRE,AGBACRE,"AV. QUINZE DE NOVEMBRO, 2221",,BOCA DO ACRE,AC,69850000
2.0,10131,82311,DELEGACIA DA CAPITANIA DOS PORTOS EM ILHÉUS,DLHEUS,DELILHEUS,"RUA MAJOR HOMEM DEL REY, 217",CIDADE NOVA,ILHÉUS,BA,45652180
4.0,10135,84120,NAVIO-PATRULHA BOCAINA,NPABOC,NPaBocaina,"RODOVIA ARTHUR BERNARDES, S/Nº",VAL-DE-CÃES,BELÉM,PA,66110300
7.0,10136,70100,COMISSÃO NAVAL BRASILEIRA NA EUROPA,NAVEUR,CNBE,"170, UPPER RICHMOND ROAD - PUTNEY -LONDON - SW15 - 2SH",,LONDRES,,
1.0,10138,91180,BASE AÉREA NAVAL DE SÃO PEDRO DA ALDEIA,BANSPA,BAeNSPA,"RUA COMANDANTE ITURIEL, S/N",FLUMINENSE,S. P. DA ALDEIA,RJ,28940000
1.0,10140,44021,CENTRO DE MANUTENÇÃO DE SISTEMAS DA MARINHA,SISTEM,CMS,ILHA DAS COBRAS S/Nº - EDIFÍCIO 26,CENTRO,RIO DE JANEIRO,RJ,20180001
9.0,30040,88000,COMANDO DO 9º DISTRITO NAVAL,NOVDIS,Com9°DN,"RUA BERNARDO RAMOS, S/Nº",CENTRO,MANAUS,AM,69005310
1.0,10141,31050,BATALHÃO NAVAL,BATNAV,BtlNav,"PRAÇA BARÃO DE LADÁRIO, S/Nº",ILHA DAS COBRAS,RIO DE JANEIRO,RJ,20091000
1.0,10142,81125,REBOCADOR DE ALTO-MAR ALMIRANTE GUILLOBEL,RGIBEL,RbAMAGuillobel,CAIS DA PORTUGUESA - S/Nº - ILHA DAS COBRAS,CENTRO,RIO DE JANEIRO,RJ,20091000
4.0,10291,84400,ESTAÇÃO RADIOGONIOMÉTRICA DA MARINHA EM BELÉM,ERMBEL,ERMBe,"RODOVIA AUGUSTO MONTENEGRO,  1766",NOVA MARAMBAIA,BELÉM,PA,66625280
1.0,10293,91590,CENTRO DE INSTRUÇÃO E ADESTRAMENTO ALMIRANTE ÁTTILA MONTEIRO ACHÉ,CIASUB,CIAMA,ILHA DE MOCANGUÊ GRANDE S/Nº,,NITERÓI,RJ,24040400
