OM_CENTRALIZADA_ID,OM_CENTRALIZADORA_ID,TIPO_CENTRALIZACAO_ID,DATA_INICIO,DATA_FIM
87400,87400,1.0,2002-02-01 00:00:00.000,2026-01-01 00:00:00
62500,62500,4.0,2002-02-01 00:00:00.000,2026-01-01 00:00:00
95400,95400,1.0,2002-01-01 00:00:00.000,2026-01-01 00:00:00
60000,60000,4.0,2002-02-01 00:00:00.000,2026-01-01 00:00:00
20000,81000,4.0,2004-01-01 00:00:00.000,2024-12-31 00:00:00.000
65700,62600,1.0,2004-01-01 00:00:00.000,2026-01-01 00:00:00
72100,71100,1.0,2010-09-01 00:00:00.000,2026-01-01 00:00:00
13000,81000,1.0,2004-01-01 00:00:00.000,2026-01-01 00:00:00
65703,81000,1.0,2004-01-01 00:00:00.000,2026-01-01 00:00:00
89145,89145,1.0,2015-01-01 00:00:00.000,2026-01-01 00:00:00
81148,81148,1.0,2015-01-01 00:00:00.000,2026-01-01 00:00:00
81147,81147,1.0,2015-01-01 00:00:00.000,2026-01-01 00:00:00
91613,91613,1.0,2017-12-01 00:00:00.000,2026-01-01 00:00:00
95305,95380,1.0,2021-03-09 00:00:00.000,2026-01-01 00:00:00
78000,71000,4.0,2018-07-16 00:00:00.000,2026-01-01 00:00:00
20400,81000,1.0,2021-04-01 00:00:00.000,2026-01-01 00:00:00
51209,51209,1.0,2015-05-01 00:00:00.000,2026-01-01 00:00:00
82019,82019,1.0,2016-08-01 00:00:00.000,2026-01-01 00:00:00
81146,81146,1.0,2015-03-01 00:00:00.000,2026-01-01 00:00:00
95300,95380,1.0,2015-07-01 00:00:00.000,2026-01-01 00:00:00
85121,85000,1.0,2016-06-01 00:00:00.000,2026-01-01 00:00:00
20001,81000,1.0,2019-09-01 00:00:00.000,2024-12-31 00:00:00.000
89144,89144,1.0,2014-11-01 00:00:00.000,2026-01-01 00:00:00
89510,89330,1.0,2020-01-01 00:00:00.000,2026-01-01 00:00:00
83601,83601,1.0,2011-05-01 00:00:00.000,2026-01-01 00:00:00
86200,86800,1.0,2015-06-01 00:00:00.000,2026-01-01 00:00:00
84115,84115,1.0,2015-10-01 00:00:00.000,2026-01-01 00:00:00
84513,84513,1.0,2015-10-01 00:00:00.000,2026-01-01 00:00:00
51110,51212,1.0,2020-03-01 00:00:00.000,2026-01-01 00:00:00
91530,91530,1.0,2018-05-01 00:00:00.000,2026-01-01 00:00:00
91624,91624,1.0,2018-05-01 00:00:00.000,2026-01-01 00:00:00
83142,83142,1.0,2018-08-01 00:00:00.000,2026-01-01 00:00:00
88701,88200,1.0,2021-06-01 00:00:00.000,2025-02-28 00:00:00.000
33001,32100,4.0,2022-02-01 00:00:00.000,2026-01-01 00:00:00
95350,95380,1.0,2015-06-01 00:00:00.000,2026-01-01 00:00:00
49000,71000,4.0,2015-07-01 00:00:00.000,2026-01-01 00:00:00
91619,91619,1.0,2015-06-01 00:00:00.000,2026-01-01 00:00:00
83143,83143,1.0,2016-09-01 00:00:00.000,2026-01-01 00:00:00
83123,83123,1.0,2016-09-01 00:00:00.000,2026-01-01 00:00:00
51214,51214,1.0,2015-10-01 00:00:00.000,2026-01-01 00:00:00
85511,85511,1.0,2017-01-01 00:00:00.000,2026-01-01 00:00:00
46000,81000,4.0,2018-01-18 00:00:00.000,2026-01-01 00:00:00
82600,82019,1.0,2019-06-01 00:00:00.000,2020-04-10 00:00:00.000
41000,91613,1.0,2019-12-06 00:00:00.000,2019-12-31 00:00:00.000
51210,51210,1.0,2018-05-01 00:00:00.000,2026-01-01 00:00:00
73000,81000,4.0,2017-10-23 00:00:00.000,2026-01-01 00:00:00
